iter	Passed	Remaining
0	1	119
1	2	104
2	3	105
3	3	94
4	4	90
5	5	88
6	6	89
7	7	88
8	8	87
9	9	86
10	10	85
11	11	84
12	12	81
13	12	79
14	13	77
15	14	75
16	15	73
17	15	71
18	16	69
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	67
25	23	66
26	24	65
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	53
39	34	52
40	36	52
41	36	50
42	37	49
43	37	48
44	38	46
45	39	45
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	36
58	50	35
59	51	34
60	52	33
61	53	32
62	54	32
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	60	23
72	62	22
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	68	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
